Delta Power,Theta Power,Alpha Power,Beta Power,Gamma Power,Class,Rdelta,Rtheta,Ralpha,Rbeta,Rgamma,,(Theta+alpha)/beta,Alpha/beta,(Theta+alpha)/(alpha+beta),Theta/beta,,rdelta,rtheta,ralpha,rbeta
15791.395,2331.212,934.275,1514.6,345.873,0,0.754942248,0.111448699,0.044665064,0.072408773,0.016535217,,1.400767927,0.616846032,0.849102088,1.539160174,,,0.487692379,0.195451464,0.316856158
18991.31,2642.376,1546.172,3325.53,710.016,0,0.697814738,0.097091191,0.056812385,0.122192932,0.026088755,,1.585144582,0.464940025,0.701845505,0.794572895,,,0.351656717,0.205770023,0.44257326
8881.771,2400.335,941.267,1969.928,412.352,0,0.608105026,0.164342875,0.06444539,0.134874353,0.028232356,,1.392139847,0.477817971,0.764622633,1.218488696,,,0.451910278,0.177212027,0.370877694
24067.846,2119.966,920.595,2167.553,509.715,0,0.808034265,0.071174012,0.030907307,0.07277166,0.017112756,,1.434249889,0.424716258,0.709165604,0.97804575,,,0.407050614,0.176761684,0.416187702
19073.443,2541.387,1044.906,2315.171,507.392,0,0.748497732,0.099731465,0.04100517,0.090854087,0.019911547,,1.411155798,0.451329945,0.738443358,1.097710277,,,0.430636703,0.177058777,0.39230452
14256.226,1731.868,856.605,1975.151,473.362,0,0.738924447,0.089765665,0.044399294,0.102375437,0.024535158,,1.494613331,0.433690892,0.698262674,0.876828151,,,0.379494016,0.187702799,0.432803184
15996.924,2253.284,1098.082,2232.02,508.576,0,0.724206916,0.102009852,0.049711968,0.101047196,0.023024067,,1.487325166,0.491967814,0.74718815,1.009526796,,,0.403569447,0.196669548,0.399761005
10517.549,1533.683,1319.624,2298.677,523.315,0,0.64951817,0.094713604,0.08149425,0.141956313,0.032317663,,1.860428133,0.574079786,0.744530002,0.667202482,,,0.297687842,0.256138994,0.446173164
20477.307,2216.514,962.363,2436.776,482.97,0,0.770520806,0.083403064,0.036211828,0.09169109,0.018173212,,1.434178625,0.394932895,0.683146118,0.909609254,,,0.394702807,0.171371522,0.433925672
11587.763,1678.934,755.769,2157.205,481.033,0,0.695514607,0.100772092,0.045362369,0.129478622,0.028872309,,1.45014813,0.350346397,0.634675386,0.778291354,,,0.365628841,0.164587139,0.46978402
