Theta,Alpha,Beta,Delta,Class
0.184788643,0.071793223,0.126608392,0.031951274,2
0.164485051,0.068961874,0.135387766,0.02667763,2
0.241152948,0.073311282,0.133203229,0.029029387,2
0.163435369,0.066776586,0.142795558,0.027123234,2
0.166702162,0.070394461,0.150694403,0.030712227,2
0.167565599,0.070377567,0.131817713,0.031179985,2
0.154120715,0.083404535,0.18404233,0.043536864,2
0.136286374,0.100354073,0.181641596,0.044236416,2
0.167798179,0.069417228,0.114596231,0.027911352,2
0.144451608,0.078410511,0.126983977,0.026557225,2
0.134095572,0.07319966,0.169915145,0.034274822,2
0.167844553,0.075856744,0.103079806,0.02419446,2
0.210943786,0.071032135,0.103809178,0.025106852,2
0.138732781,0.091003854,0.150039928,0.028085333,2
0.134171622,0.065916908,0.088746526,0.020382418,2
0.128922745,0.069100144,0.234911583,0.056208838,2
0.153016608,0.080744504,0.199645784,0.048169534,2
0.166637669,0.070496062,0.154085736,0.028853685,2
0.173640545,0.08075607,0.146767872,0.028443088,2
0.157179701,0.076564486,0.11705308,0.026707993,2
0.147252205,0.099026834,0.238052402,0.051958326,2
0.12679886,0.054910898,0.121609552,0.024367065,2
0.160096502,0.080062762,0.163029166,0.033063691,2
0.127755976,0.074714234,0.134942526,0.028441654,2
0.132145988,0.125594221,0.342424774,0.075910138,2
0.171531714,0.08460715,0.184752834,0.042609905,2
0.147728492,0.081686722,0.123733429,0.034040775,2
0.127385345,0.068324248,0.115041185,0.028721203,2
0.168929451,0.08804857,0.139615936,0.030385116,2
0.137266634,0.08310268,0.239598959,0.060709792,2
0.152691603,0.106729719,0.328680163,0.07436132,2
0.155317178,0.06386205,0.185108241,0.040464766,2
0.121859553,0.06358261,0.142328803,0.031179776,2
0.184450926,0.070792725,0.123467863,0.031124624,2
0.144440115,0.097127157,0.382012153,0.079194062,2
0.137382491,0.096781918,0.180473106,0.047694323,2
0.122272325,0.060129018,0.127483917,0.030654102,2
0.122372486,0.044198473,0.0884579,0.017259405,2
0.115708409,0.075578344,0.268629301,0.064748817,2
0.139058767,0.111580431,0.289688701,0.066383315,2
0.145787335,0.079684461,0.17421613,0.040800213,2
0.190862245,0.070158086,0.198201133,0.043113446,2
0.123318515,0.09900448,0.256601593,0.067823658,2
0.121202803,0.11576028,0.381031443,0.086177025,2
0.130592775,0.06530599,0.13388221,0.032092776,2
0.092352611,0.055186446,0.089506643,0.020897804,2
0.121724488,0.06359934,0.094007116,0.020871457,2
0.162656039,0.058583826,0.122249415,0.024755232,2
0.147200105,0.062848886,0.088133753,0.020696334,2
0.133225122,0.14087621,0.371298421,0.097264927,2
0.142953101,0.067316808,0.186552008,0.040608801,2
0.140435977,0.049744236,0.097327475,0.021728798,2
0.149106973,0.053694095,0.097160753,0.026776754,2
0.121123522,0.110837552,0.321391292,0.082309245,2
0.152249508,0.094743778,0.220069813,0.043490683,2
0.163674266,0.10339754,0.219882885,0.049528653,2
0.148862091,0.077948371,0.179163127,0.047340349,2
0.112917651,0.039374683,0.078333739,0.016410809,2
0.109482077,0.068404133,0.173196965,0.044237963,2
0.137883644,0.072226585,0.128701333,0.026912218,2
0.156760217,0.08054583,0.227455402,0.05361286,2
0.142365301,0.102026706,0.279264868,0.056519399,2
0.142483238,0.112782653,0.279709357,0.072543475,2
0.168667836,0.078310753,0.138055374,0.031307581,2
0.208352688,0.070644922,0.104425464,0.027369974,2
0.138242709,0.063520245,0.117593881,0.024508767,2
0.122650153,0.07641818,0.140416208,0.027518476,2
0.119807071,0.092807712,0.249031486,0.06177159,2
0.142719709,0.097478965,0.278310372,0.057781629,2
0.153239863,0.079168476,0.215997647,0.056941941,2
0.191639904,0.079405434,0.148986608,0.036235517,2
0.167049081,0.111072926,0.287085388,0.061549732,2
0.152756009,0.076228754,0.17146166,0.037363154,2
0.106494756,0.075509821,0.135448498,0.029331231,2
0.15156697,0.101921882,0.341711707,0.099129595,2
0.130949129,0.083534909,0.208328927,0.044610091,2
