Delta Power,Theta Power,Alpha Power,Beta Power,Gamma Power,Class
47417.791,4816.968,2537.212,3221.083,734.219,0
9224.882,2110.796,859.319,1678.356,322.712,0
17713.229,2080.21,957.257,1674.371,413.227,0
6275.754,1558.791,794.705,1734.985,316.731,0
12559.107,2022.86,1074.793,1950.412,380.434,0
9283.507,1888.289,1124.778,1705.895,373.885,0
17847.731,1858.261,1075.116,1855.308,430.384,0
15953.797,2275.424,1033.444,1881.019,386.595,0
15130.039,2069.492,928.612,1940.476,413.894,0
13716.628,2589.405,1107.398,2418.137,462.973,0
15140.779,2214.635,1269.848,2097.975,446.658,0
16223.408,3586.468,1801.68,2935.808,594.599,0
23997.754,3236.978,1759.231,3248.696,605.97,0
13270.809,2802.321,1753.272,2534.141,553.552,0
10199.837,3208.085,1449.894,2438.195,569.278,0
10283.645,2535.702,1373.663,2015.123,409.379,0
39974.335,4717.868,2240.545,4579.651,967.671,0
12055.36,2140.779,1307.548,2328.67,432.839,0
6531.866,2571.48,1170.013,1782.057,366.609,0
29128.862,3083.28,1483.458,2813.241,598.703,0
16523.334,2238.591,1258.616,2484.738,476.198,0
7134.7,2120.142,1203.352,2072.539,368.952,0
34732.584,2348.357,1788.194,2965.077,601.138,0
6614.914,1859.716,817.018,1719.882,430.227,0
6911.594,1619.062,979.871,1698.31,287.623,0
3316.188,1843.976,1107.579,2274.252,464.513,0
16177.736,1802.388,925.027,2045.455,438.569,0
18404.008,2304.79,1531.382,2727.352,563.99,0
11966.44,2404.697,1327.72,2222.224,427.542,0
11214.386,2940.645,1242.246,1965.929,429.515,0
8169.158,2603.851,1937.229,2771.978,497.918,0
18314.988,2133.717,1121.629,2200.701,432.793,0
35140.545,2874.644,1414.127,2382.957,523.377,0
10709.53,3240.544,2294.601,4385.873,989.309,0
13428.473,2569.118,1255.693,2969.369,662.596,0
9997.252,2417.122,1362.11,2948.382,691.356,0
12436.147,2986.489,1114.238,2774.438,752.87,0
22529.634,2635.492,1576.3,3487.687,708.025,0
12693.588,2650.873,1403.287,2302.997,472.989,0
15206.255,2725.173,1188.022,2819.634,597.608,0
19625.4,2865.097,1669.038,2516.092,588.294,0
25981.006,2176.849,1282.034,2953.23,643.523,0
22185.604,3166.748,1538.593,2844.262,743.38,0
10070.979,2414.782,1126.168,2176.793,421.198,0
19853.605,3485.764,1622.678,2909.454,616.629,0
41103.441,2819.108,2062.435,3414.674,694.283,0
14780.824,2396.913,1547.122,3113.914,602.949,0
11254.085,1689.66,1215.265,2675.366,637.103,0
21517.239,2891.069,1672.717,3230.099,695.48,0
26839.552,3391.65,2046.552,5111.224,1201.235,0
19853.641,2570.006,1280.358,3023.996,680.001,0
14615.774,2558.522,1804.095,4583.838,980.83,0
17216.7,3449.673,1908.173,3282.268,718.455,0
12696.998,2581.955,1804.869,3458.768,708.494,0
18456.841,3008.167,1748.415,3245.121,782.398,0
13067.705,3055.227,1317.492,3029.104,609.819,0
16466.379,2903.86,1137.187,2598.664,625.241,0
14615.389,2276.827,1351.945,2537.824,475.346,0
12081.843,2693.299,1085.233,1907.626,371.08,0
13173.001,2343.649,929.902,1938.375,456.623,0
22330.687,3072.489,1339.919,3246.457,813.039,0
14136.911,2231.359,1348.376,2066.172,406.704,0
29199.232,2199.675,1041.302,1953.034,514.156,0
20894.501,2323.413,1235.37,2058.395,438.296,0
10001.351,2997.723,1566.593,2324.05,529.621,0
28437.383,2898.844,1213.363,2139.463,493.058,0
32843.858,4634.91,2682.072,5197.928,1279.475,0
13482.874,2829.659,1321.897,2707.366,664.84,0
29114.926,3382.398,1767.724,4446.162,992.009,0
15095.744,2196.669,1872.277,3541.393,551.242,0
5278.252,1738.007,1393.695,2462.717,576.195,0
19357.45,2367.866,1291.495,2985.711,623.705,0
21780.963,2831.204,2004.559,3196.668,614.914,0
24720.636,2395.687,1702.978,2546.195,584.195,0
15367.144,2701.259,1495.024,3303.56,742.107,0
25932.36,3248.32,1867.252,3675.637,775.101,0
11744.287,2525.001,1525.0,4630.092,1034.801,0
9284.406,2893.228,1430.786,3699.403,828.258,0
12619.38,2451.057,1139.036,3507.297,728.997,0
25923.969,3069.553,1689.325,3759.932,858.067,2
13829.826,3460.694,1609.787,3766.928,807.701,2
8024.699,2394.432,1244.564,3095.861,580.188,2
8581.235,2144.785,851.991,1663.663,334.65,2
8019.786,2029.568,730.359,1353.053,325.472,2
9405.753,2601.464,1065.364,2202.161,413.565,2
9638.622,2553.133,972.304,1564.243,379.095,2
41225.91,2957.666,1542.533,3325.268,770.618,2
11418.786,2501.722,1125.113,1670.201,364.721,2
8090.05,2076.256,963.19,1365.156,331.657,2
11248.866,2496.995,1331.644,2867.602,611.997,2
10869.418,2811.858,1859.868,4017.077,783.114,2
10604.141,2202.75,945.251,1566.588,351.238,2
9544.021,2555.68,1259.145,2210.304,422.372,2
11691.56,2677.918,1024.907,1668.57,425.715,2
9524.412,1843.882,849.151,1715.331,353.753,2
9156.525,2499.559,1054.569,2049.504,374.657,2
15204.019,2688.991,1338.906,1975.676,391.811,2
