0-5min,5-10min,10-15min,15-20min,20-25min,25-30min,30-35min,,
861,701,841,702,901,401,781,,
842,820,841,800,881,561,462,,
721,862,702,802,822,341,320,,
741,841,861,721,780,502,362,,
721,721,922,701,862,880,481,,
722,781,861,701,881,922,341,,
742,862,721,621,821,841,741,,
700,821,800,822,762,821,441,,
861,741,882,661,941,942,401,,
882,802,801,681,881,901,282,,
801,801,802,641,801,821,580,,
762,761,821,402,881,881,362,,
880,721,901,380,942,922,580,,
821,761,841,381,861,861,322,,
742,901,741,321,801,621,521,,
781,822,801,342,962,1181,301,,
922,741,882,440,920,922,501,,
840,801,841,261,821,781,321,,
761,842,761,442,922,861,662,,
802,821,781,261,941,922,421,,
901,741,881,481,802,841,641,,
841,761,781,321,740,781,401,,
821,821,721,501,962,981,561,,
861,761,782,361,881,921,921,,
922,741,862,561,522,641,642,,
842,702,861,781,341,501,381,,
760,821,780,822,861,782,941,,
801,861,642,821,701,562,842,,
942,742,981,741,721,480,1000,,
862,740,941,462,741,301,1042,,
760,822,862,461,621,641,921,,
802,822,720,741,882,401,941,,
860,720,702,861,1021,442,981,,
863,642,721,881,1022,301,902,,
781,380,661,781,620,601,841,,
780,362,842,782,362,381,981,,
842,660,761,801,361,661,922,,
841,702,741,522,261,681,561,,
781,802,721,320,260,402,361,,
762,740,821,622,662,800,801,,
901,682,862,381,401,1102,922,,
880,761,800,420,461,1021,840,,
782,761,722,702,701,962,782,,
741,801,821,721,421,1001,861,,
821,681,881,441,402,962,901,,
862,702,781,301,920,641,842,,
741,780,722,301,882,1241,781,,
761,762,782,381,821,1081,922,,
821,721,780,322,901,981,920,,
802,681,781,520,962,601,861,,
780,722,681,701,882,362,782,,
742,861,662,421,800,921,800,,
801,781,741,521,901,822,742,,
861,721,761,322,882,781,762,,
761,702,781,401,781,601,741,,
461,781,742,341,822,921,721,,
282,881,741,541,901,722,700,,
800,781,821,882,861,1000,782,,
782,821,841,821,821,821,982,,
802,1002,802,781,801,782,800,,
720,941,681,861,982,541,761,,
801,821,861,602,921,561,822,,
821,801,882,1001,801,321,942,,
762,881,800,741,862,441,820,,
742,801,721,822,920,341,741,,
800,741,742,821,802,402,842,,
842,822,741,721,781,261,861,,
761,861,861,761,961,740,801,,
721,802,761,821,902,582,781,,
781,741,722,481,801,381,941,,
841,861,841,341,821,601,962,,
781,861,901,282,901,382,842,,
742,782,861,421,802,381,880,,
762,761,762,301,780,341,1021,,
861,861,880,460,902,540,1002,,
821,861,862,322,921,502,661,,
721,781,781,521,781,301,1182,,
861,761,842,841,622,761,941,,
901,842,880,781,1140,842,542,,
821,880,822,782,862,941,400,,
742,802,781,761,761,821,341,,
821,742,861,681,881,701,261,,
