0-5min,5-10min,10-15min,15-20min,20-25min,25-30min,30-35min,35-40min,40-45min
702,661,301,661,580,862,981,780,662
661,641,401,722,641,801,922,762,721
621,662,301,720,602,721,821,662,721
621,701,341,662,641,681,700,660,661
662,681,341,620,641,702,722,681,681
641,661,421,642,642,701,761,742,781
681,642,301,661,620,701,781,741,721
641,700,441,701,362,721,761,741,662
601,681,742,721,240,701,662,641,661
622,662,641,681,582,601,741,681,721
660,621,682,622,601,381,741,681,761
682,641,641,660,641,802,782,722,702
661,662,661,682,642,681,740,782,641
621,700,741,742,660,381,682,740,701
621,662,762,761,641,380,681,642,721
661,641,660,660,622,642,702,421,741
662,661,642,662,721,642,760,280,702
660,681,780,741,741,660,702,702,660
622,702,863,721,762,701,660,721,742
621,660,800,741,801,421,682,762,701
621,662,482,641,761,702,782,641,741
661,681,280,641,701,721,740,660,681
702,721,561,681,681,642,722,681,681
660,701,622,702,722,660,681,741,702
622,641,381,681,821,662,400,722,761
620,661,301,642,862,701,402,701,721
642,681,622,660,780,621,861,661,681
681,681,380,662,661,661,802,402,721
681,662,241,701,702,662,720,280,721
641,641,322,641,721,721,702,681,742
622,621,261,621,781,721,820,742,681
601,661,301,621,741,720,862,800,561
621,682,280,662,681,622,841,762,802
642,641,681,681,662,701,741,662,720
620,641,682,681,620,661,742,700,761
622,641,421,620,682,661,861,741,682
620,681,261,682,761,702,921,782,701
622,762,402,702,882,681,862,721,801
681,700,261,760,801,681,740,701,862
661,662,300,702,681,641,842,662,760
401,661,361,681,641,661,901,381,681
301,701,381,721,681,681,841,380,722
642,661,282,721,741,502,701,862,701
641,662,721,722,821,321,421,821,741
700,620,721,580,722,741,361,681,662
622,641,682,362,681,681,862,741,721
621,662,681,320,661,641,861,742,760
602,681,661,662,701,401,761,741,762
620,641,721,681,941,301,821,740,721
662,641,701,720,882,662,882,641,761
641,642,662,662,741,700,821,662,781
642,681,660,641,681,702,641,381,842
620,721,402,622,681,682,401,261,701
641,661,301,720,861,660,441,582,721
662,661,741,662,882,681,841,341,742
660,642,701,660,641,741,861,261,761
622,700,422,622,441,762,742,601,741
601,741,280,622,361,701,741,641,721
661,681,641,641,621,681,782,441,681
641,641,381,681,721,401,821,501,682
662,682,242,661,962,341,761,542,700
620,701,681,661,861,722,681,320,681
622,722,701,661,681,721,781,362,602
621,641,702,622,681,641,821,280,381
621,660,641,620,701,381,761,301,281
662,642,381,582,841,321,701,301,701
620,661,301,641,741,641,742,242,841
601,621,661,620,681,701,880,261,762
362,581,701,641,642,722,822,261,641
280,621,701,603,721,681,722,401,381
601,622,441,620,801,661,720,241,381
642,621,261,641,661,661,782,261,721
641,601,702,662,681,701,801,261,781
641,601,701,641,662,721,681,262,701
381,601,742,381,641,722,701,441,601
262,601,660,281,721,660,821,400,362
661,622,402,601,682,662,821,322,401
721,661,301,601,641,681,742,341,681
741,581,661,621,641,722,721,401,742
681,601,721,661,660,700,802,260,681
641,621,681,622,702,641,660,442,620
702,601,641,661,721,381,982,281,662
681,661,401,602,682,302,661,381,681
722,642,341,641,641,661,681,261,682
660,620,702,580,700,701,761,402,660
641,602,781,601,762,721,841,261,601
622,621,702,362,801,662,762,421,641
641,641,681,240,681,660,721,701,662
701,681,701,642,642,682,741,761,701
702,641,721,602,360,701,821,681,702
700,662,701,660,341,701,801,422,680
622,620,681,642,681,641,742,280,742
661,662,681,641,702,701,720,322,861
661,701,402,701,661,702,782,381,801
701,662,341,841,661,721,841,781,721
681,641,301,901,661,701,822,781,741
641,660,400,842,701,661,721,681,741
641,662,342,801,801,422,781,702,742
661,701,361,762,702,260,801,660,701
702,661,301,721,661,661,741,762,621
700,642,401,681,661,721,702,721,381
642,620,322,641,701,682,620,641,281
661,641,341,641,702,681,702,402,681
641,681,341,581,720,681,781,301,721
682,702,481,601,681,701,981,681,781
700,641,781,621,662,862,802,760,721
682,642,701,621,681,741,701,722,722
601,681,682,622,722,660,740,461,941
661,720,700,581,820,682,862,282,901
661,721,602,641,682,701,902,660,742
662,681,861,761,400,722,840,662,701
660,622,641,881,301,700,721,741,741
641,621,681,781,662,681,842,741,821
642,621,721,662,721,622,861,681,722
641,641,762,641,722,381,801,681,660
701,701,740,641,700,261,701,662,662
661,742,662,641,662,661,742,801,721
622,721,681,681,661,661,801,701,741
641,641,741,682,701,722,801,501,802
660,641,681,721,722,660,721,281,641
682,661,681,641,760,622,702,581,681
681,641,682,660,662,661,761,682,660
621,662,661,622,681,641,841,780,642
382,641,701,661,400,681,822,702,661
280,621,681,621,322,721,740,581,641
641,641,661,741,701,682,682,801,621
702,681,402,742,702,661,421,702,381
681,681,241,441,641,682,360,781,262
661,721,680,341,641,760,762,681,601
622,662,681,281,641,721,801,681,701
660,661,742,241,641,722,701,681,882
702,661,661,261,361,641,702,722,901
,682,402,681,441,681,721,740,841
,681,280,702,281,681,760,682,861
,681,681,801,402,721,782,681,722
,621,702,681,320,722,701,400,681
,661,701,682,301,700,742,261,720
,681,641,660,322,662,941,302,801
,661,641,401,381,721,901,301,802
,681,381,322,720,741,781,701,801
,601,282,721,782,742,781,701,741
,641,641,741,661,760,841,681,721
,662,641,782,421,662,861,402,762
,701,601,700,261,641,742,280,741
,681,381,682,641,661,701,662,761
,641,241,660,641,641,761,641,742
,662,602,682,702,661,861,781,620
,681,621,721,722,661,781,742,702
,701,661,822,641,421,702,661,701
,641,621,720,660,482,681,401,660
,641,622,662,542,341,721,262,742
,641,601,660,821,481,781,641,741
,641,360,722,821,701,901,660,662
,641,282,681,661,721,762,682,660
,622,661,662,682,781,681,661,642
,621,701,641,620,762,881,382,661
,641,621,660,381,701,862,280,641
,681,381,742,301,682,801,622,802
,702,282,721,782,740,701,641,840
,641,620,682,861,842,740,701,742
,620,662,641,741,721,802,761,621
,642,681,620,681,681,841,681,661
,641,641,662,742,682,762,622,621
,641,422,681,841,721,701,360,621
,641,261,681,861,720,761,361,642
,602,601,661,721,702,841,721,721
,601,360,701,702,701,741,782,840
,641,242,702,741,761,701,741,722
,661,681,740,801,721,421,641,661
,621,641,702,741,722,241,381,722
,621,762,661,681,660,642,361,761
,622,700,662,742,662,700,721,840
,641,722,681,861,701,742,762,802
,681,581,681,781,741,722,661,781
,641,361,681,702,642,681,701,761
,601,321,661,720,700,620,721,681
,641,301,621,742,682,662,741,702
,641,301,661,761,681,621,742,781
,641,682,721,721,761,661,681,842
,601,400,701,661,661,661,641,760
,602,282,702,721,681,681,701,742
,621,661,681,802,662,601,721,761
,641,602,661,761,400,381,762,781
,661,360,681,681,362,242,700,781
,621,301,681,661,701,601,662,702
,621,602,702,721,681,601,701,641
,622,681,521,701,681,621,721,701
,620,661,700,742,702,602,782,421
,642,741,641,660,741,601,681,341
,642,802,742,702,641,580,661,761
,580,481,722,701,641,641,741,721
,622,301,740,781,641,562,741,682
,660,601,702,721,681,601,802,681
,681,641,680,662,681,561,680,721
,682,381,702,681,682,,742,760
,621,362,741,701,620,,741,822
,661,660,801,801,662,,801,701
,662,642,741,762,481,,741,662
,700,,721,700,301,,681,681
,682,,862,681,641,,681,701
,641,,902,742,621,,681,821
,641,,721,821,641,,762,721
,661,,701,741,661,,681,681
,701,,740,662,662,,702,681
,681,,,700,661,,620,722
,662,,,722,641,,702,740
,621,,,841,641,,760,782
,661,,,762,641,,782,701
,942,,,721,642,,701,702
,960,,,741,741,,641,720
,,,,,661,,702,782
,,,,,681,,681,741
,,,,,622,,741,702
,,,,,641,,741,760
,,,,,781,,,822
,,,,,,,,800
