0-5min,5-10min,10-15min,15-20min,20-25min,25-30min,30-35min,35-40min,
1040,922,242,1382,302,261,282,1061,
642,961,261,901,761,261,360,1041,
381,1201,320,742,461,261,341,982,
621,981,322,440,401,241,261,1021,
361,4043,281,561,241,281,823,1201,
261,601,281,681,661,262,620,1022,
5603,361,521,402,402,261,502,981,
802,381,301,961,420,360,461,1001,
580,11585,361,561,262,261,361,602,
422,3963,262,361,281,242,461,460,
1040,421,241,861,241,1000,301,282,
1002,261,280,542,261,1123,622,281,
1202,901,242,380,280,1061,400,241,
1041,661,1121,322,242,1201,542,781,
862,602,662,641,281,1102,341,1181,
561,381,421,381,661,1001,540,722,
660,7763,261,281,421,1141,341,981,
1262,5004,320,241,441,1221,502,761,
1161,1381,261,801,662,1082,321,481,
682,1021,261,481,400,1081,301,281,
1120,622,262,742,402,882,241,342,
3183,601,261,441,301,1261,261,400,
6304,361,261,601,321,1042,442,261,
341,861,261,381,241,941,341,241,
961,1021,261,701,502,601,240,302,
861,1241,242,421,301,421,581,241,
841,1042,260,742,381,821,342,261,
861,701,281,460,401,501,601,721,
782,421,261,542,281,361,361,601,
760,842,281,322,701,301,541,3963,
802,660,282,561,421,301,321,500,
761,402,261,341,622,261,441,301,
622,240,261,700,380,261,261,242,
880,1983,301,442,602,881,442,300,
882,1180,261,761,401,542,280,282,
882,1002,261,461,541,341,682,261,
781,601,261,541,341,361,402,261,
780,362,1021,341,661,241,440,981,
942,680,601,762,381,301,341,582,
981,402,381,481,641,261,422,361,
861,1201,502,662,382,421,261,981,
902,962,321,400,521,242,381,781,
921,561,261,361,341,261,261,461,
861,8784,261,262,561,261,641,861,
782,7003,1001,561,361,301,381,641,
480,841,582,3542,621,241,601,381,
361,962,481,401,381,261,381,942,
922,601,301,1581,542,1062,802,962,
881,361,241,6044,341,720,481,881,
801,861,261,301,521,461,541,961,
961,561,242,701,321,301,321,1081,
961,382,300,782,722,702,781,1002,
941,301,701,760,421,421,501,1101,
902,681,422,522,701,261,582,1102,
921,400,541,3262,660,3642,360,700,
1082,442,341,321,,681,641,462,
1061,281,261,601,,5383,402,301,
961,601,261,401,,1482,641,701,
982,361,261,3322,,8565,401,461,
1241,621,261,282,,3982,681,581,
3403,662,261,701,,961,402,341,
681,381,241,441,,901,641,701,
521,781,1202,1021,,661,380,441,
320,641,721,782,,521,302,442,
682,962,501,481,,582,241,301,
421,580,341,3402,,341,281,400,
501,602,361,321,,501,241,261,
362,361,261,1161,,320,262,802,
481,501,261,882,,561,261,1222,
381,302,241,721,,882,920,721,
481,341,521,622,,761,561,1201,
301,,322,5102,,1041,442,1121,
721,,240,7164,,662,281,682,
422,,962,1001,,401,621,421,
721,,582,642,,1002,382,961,
601,,561,781,,660,541,602,
341,,360,461,,381,340,360,
802,,722,280,,882,622,261,
700,,441,381,,981,381,381,
401,,641,261,,1001,341,282,
981,,381,1763,,882,261,240,
802,,281,1041,,681,842,261,
461,,261,5982,,1061,501,761,
502,,261,1922,,861,341,482,
1080,,322,1161,,762,261,321,
1022,,261,2503,,480,961,241,
861,,261,1501,,322,622,301,
922,,241,3223,,981,360,261,
561,,301,421,,941,721,261,
,,281,661,,881,422,242,
,,261,381,,922,400,280,
,,241,801,,641,282,261,
,,261,1261,,421,441,241,
,,282,783,,941,321,261,
,,260,580,,1121,361,242,
,,261,341,,1161,241,360,
,,261,1423,,1022,261,261,
,,242,3401,,922,521,242,
,,280,6324,,660,341,281,
,,301,921,,381,341,241,
,,262,581,,1062,3122,261,
,,1121,462,,881,5984,262,
,,682,280,,982,501,260,
,,421,521,,781,322,241,
,,1140,341,,461,3142,261,
,,702,641,,4083,261,262,
,,462,381,,800,3122,261,
,,280,562,,822,521,240,
,,341,361,,841,501,261,
,,261,521,,841,,262,
,,261,321,,981,,240,
,,302,481,,802,,282,
,,301,301,,501,,261,
,,241,702,,321,,241,
,,281,420,,321,,4183,
,,281,641,,321,,400,
,,262,402,,261,,361,
,,240,581,,401,,262,
,,282,402,,241,,280,
,,280,300,,1262,,682,
,,261,261,,761,,421,
,,262,982,,601,,622,
,,261,601,,1201,,420,
,,500,402,,7004,,402,
,,282,320,,,,240,
,,261,341,,,,501,
,,861,261,,,,301,
,,562,261,,,,662,
,,521,301,,,,401,
,,320,322,,,,321,
,,381,240,,,,601,
,,282,1102,,,,361,
,,280,,,,,662,
,,762,,,,,401,
,,481,,,,,721,
,,581,,,,,441,
,,362,,,,,541,
,,760,,,,,322,
,,462,,,,,660,
,,381,,,,,582,
,,281,,,,,401,
,,361,,,,,301,
,,32693,,,,,681,
,,381,,,,,421,
,,281,,,,,542,
,,422,,,,,320,
,,240,,,,,742,
,,262,,,,,420,
,,261,,,,,642,
,,240,,,,,401,
,,261,,,,,281,
,,262,,,,,301,
,,241,,,,,262,
,,261,,,,,660,
,,262,,,,,402,
,,261,,,,,340,
,,261,,,,,382,
,,280,,,,,302,
,,301,,,,,320,
,,261,,,,,261,
,,262,,,,,241,
,,261,,,,,741,
,,261,,,,,462,
,,240,,,,,421,
,,302,,,,,3242,
,,261,,,,,802,
,,321,,,,,641,
,,281,,,,,460,
,,241,,,,,282,
,,262,,,,,241,
,,400,,,,,261,
,,261,,,,,261,
,,261,,,,,261,
,,282,,,,,241,
,,240,,,,,3602,
,,262,,,,,681,
,,261,,,,,401,
,,261,,,,,502,
,,261,,,,,300,
,,261,,,,,261,
,,261,,,,,563,
,,281,,,,,1161,
,,241,,,,,701,
,,262,,,,,441,
,,1481,,,,,241,
,,881,,,,,381,
,,941,,,,,261,
,,1282,,,,,301,
,,781,,,,,261,
,,4383,,,,,262,
,,461,,,,,240,
,,280,,,,,261,
,,262,,,,,261,
,,261,,,,,242,
,,261,,,,,260,
,,261,,,,,242,
,,261,,,,,781,
,,,,,,,461,
,,,,,,,421,
,,,,,,,382,
,,,,,,,5983,
,,,,,,,1741,
,,,,,,,3122,
,,,,,,,301,
,,,,,,,282,
,,,,,,,320,
,,,,,,,4023,
