Delta Power,Theta Power,Alpha Power,Beta Power,Gamma Power,MedianNN,MeanNN,SDNN,MedianX,MeanX,SDX,Class
16980.303,1797.168,1131.066,2998.505,671.856,651,656.083,44.34,38.86,38.978,0.136,0
22537.396,2488.69,1290.935,2412.741,514.793,661,656.25,49.644,38.86,38.83,0.121,0
11061.31,1900.775,1016.172,2909.932,649.436,690.5,694.417,53.607,38.71,38.791,0.096,0
19163.841,1929.481,981.15,1663.217,321.351,701.5,699.583,50.515,38.56,38.564,0.153,0
11138.662,2320.131,926.904,1712.596,370.341,661,659.5,34.175,38.56,38.551,0.13,0
10608.875,1717.304,920.123,1400.519,307.321,661.5,652.75,51.339,38.42,38.417,0.107,0
10735.973,2580.138,1290.198,3139.939,662.56,700.5,691.25,43.995,38.27,38.325,0.072,0
11933.137,1928.493,917.908,1463.141,352.749,700.5,699.583,48.736,38.27,38.27,0.143,0
6683.959,1617.266,740.42,1500.886,281.756,660.5,642.75,56.81,38.27,38.695,0.732,0
12859.576,2270.96,1120.931,1757.347,410.637,661,664.417,35.476,39.74,39.764,0.103,0
16701.491,1777.297,758.783,1500.664,286.762,661,657.833,19.924,39.59,39.616,0.153,0
13778.461,2068.862,885.561,1761.566,326.307,661.5,659.583,41.252,39.59,39.485,0.14,0
19428.533,2302.273,1176.369,3276.103,750.633,651,649.417,24.005,39.3,39.284,0.145,0
13561.105,2365.972,1077.984,2638.445,609.44,621,634.5,26.421,39.15,39.15,0.128,0
24212.957,2271.872,1115.209,2717.677,586.143,621,627.75,22.174,39.15,39.071,0.144,0
18853.946,2196.659,1177.522,2063.536,557.621,631.5,639.5,28.774,38.86,38.845,0.097,0
6967.339,1789.956,1338.678,2756.3,600.59,641,639.5,20.528,38.71,38.803,0.128,0
8383.529,1646.068,962.051,2231.946,447.473,650.5,654.5,27.412,38.86,38.777,0.132,0
8762.919,2509.387,1141.474,2298.362,522.822,660.5,662.917,36.057,38.71,38.697,0.148,0
6419.206,1698.215,865.425,1714.783,432.772,641.5,649.417,34.779,38.42,38.511,0.111,0
14956.735,2515.41,1276.725,3109.558,700.232,641.5,657.833,54.53,38.56,38.549,0.159,0
