Delta Power,Theta Power,Alpha Power,Beta Power,Gamma Power,ECG,EMG,Class
15532.105,2540.199,968.091,2351.844,470.37,714.583,40.634,0
7908.468,2428.999,1049.785,2331.244,502.264,689.583,40.619,0
6547.364,1803.994,819.988,1655.27,368.435,679.417,40.515,0
9812.94,2045.862,1421.794,3845.985,735.951,696.083,40.544,0
24586.968,2339.7,1217.636,3137.744,744.349,664.25,40.529,0
23463.383,2196.709,1427.471,2541.715,543.625,689.333,40.589,0
29067.528,2300.354,1247.633,2703.183,538.01,679.417,40.559,0
17849.968,2272.89,1224.529,2428.871,505.657,626.083,40.53,0
28797.869,2292.128,1307.327,2863.087,609.225,644.417,40.515,0
10849.71,2092.933,906.189,2518.426,588.054,674.417,40.47,0
6660.432,2334.219,1520.612,3513.098,743.655,696.167,40.395,0
21499.053,2286.89,1264.694,2372.026,665.526,684.5,40.41,0
9191.703,2175.872,1206.73,3050.937,712.912,706.167,40.336,0
15870.742,1862.539,991.889,1673.304,407.401,696.167,40.336,0
12770.001,1900.19,1096.024,2796.846,593.107,701.167,40.38,0
28072.061,2221.254,1272.06,2935.927,721.549,713,40.396,0
30548.487,2497.905,1017.038,2550.501,777.918,717.833,40.366,0
27879.552,2312.274,1027.205,2778.89,753.586,696.083,40.381,0
22302.106,2327.941,1014.447,2623.683,598.216,667.917,40.308,0
8343.469,1719.863,981.542,2188.305,468.345,681.167,40.294,0
20669.558,2457.47,1157.35,3059.001,670.628,686.083,40.264,0
12553.376,2605.898,1338.152,2857.061,625.947,691.25,40.236,0
25042.861,2237.771,1302.837,2610.168,716.42,691.083,40.324,0
6285.918,1738.733,621.644,1559.986,357.861,682.833,40.293,0
6217.344,1979.414,678.209,973.357,236.22,696.083,40.322,0
7721.829,2314.397,1191.179,3269.351,660.643,666.25,40.294,0
8625.914,1857.614,1142.132,2148.865,561.543,701.167,40.351,0
8952.49,1728.744,872.743,2021.005,487.121,697.75,40.351,0
13730.24,2118.186,722.369,2043.312,400.139,714.5,40.352,0
29337.891,2262.681,1214.508,2455.52,599.946,694.5,40.308,0
