alp,thet,Class
0.049530675,0.101943782,0
0.044280671,0.116189198,0
0.073820597,0.170806553,0
0.07324558,0.161142098,0
0.079596442,0.114533707,0
0.038019762,0.073055361,0
0.0473097,0.072804032,0
0.034794968,0.064154077,0
0.050429672,0.093604232,0
0.03644662,0.063901624,0
0.053445728,0.123438189,0
0.102938692,0.158016279,0
0.045025829,0.081418207,0
0.073859629,0.133177347,0
0.047673506,0.089519859,0
0.057215201,0.099194682,0
0.036114623,0.063062868,0
0.027199457,0.066803463,0
0.029558574,0.066537373,0
0.035142839,0.080645372,0
0.071637432,0.125523482,0
0.041313262,0.087722902,0
0.06697312,0.130422492,0
0.040828413,0.070127452,0
0.058844722,0.164588189,0
0.067252322,0.196281954,0
0.078587296,0.152690907,0
0.079668428,0.129576255,0
0.062063477,0.122936377,0
0.037990936,0.111399947,0
0.033858085,0.063079079,0
0.04009138,0.087367477,0
0.04090163,0.076241496,0
0.033245902,0.075829166,0
0.047015834,0.08142025,0
0.080544777,0.185950391,0
0.037566365,0.076534722,0
0.061844209,0.105119831,0
0.040358641,0.077757984,0
0.039398044,0.071650672,0
0.049478153,0.124398573,0
0.075391585,0.166883579,0
0.041906304,0.098517651,0
0.045216998,0.089439684,0
0.036218374,0.088458483,0
0.035420005,0.092133577,0
0.03158615,0.082877226,0
0.047814202,0.082870362,0
0.031383519,0.082985594,0
0.05836358,0.137775034,0
0.033243308,0.086148043,0
0.053425936,0.112479289,0
0.04421807,0.133198346,0
0.042103922,0.09169723,0
0.029970619,0.083218368,0
0.052278008,0.107993721,0
0.082424727,0.153049011,0
0.030575345,0.07793881,0
0.038777179,0.065099307,0
0.030069925,0.089851858,0
0.032624501,0.078607584,0
0.050137139,0.118174055,0
0.064954869,0.110879492,0
0.038290661,0.080273153,0
0.043545371,0.109546849,0
0.046665854,0.135472394,0
0.025659068,0.065641971,0
0.068583374,0.158185173,0
0.048673243,0.089488312,1
0.072188375,0.163527516,1
0.038580841,0.077290607,1
0.047685642,0.082325072,1
0.037373667,0.08422358,1
0.057711437,0.122365587,1
0.048202119,0.074296242,1
0.077536447,0.164783554,1
0.052339936,0.096456183,1
0.049561868,0.094588774,1
0.039583719,0.088537615,1
0.049852955,0.094623636,1
0.043817737,0.094233837,1
0.04388755,0.120317194,1
0.056269635,0.104367271,1
0.046927549,0.084522731,1
0.054379905,0.100651784,1
0.058569311,0.110534425,1
0.040397925,0.071577781,1
0.11366353,0.170654189,1
0.065220515,0.125437154,1
0.072661931,0.141598197,1
0.062176797,0.112437183,1
0.055905889,0.102246272,1
0.066986719,0.126885369,1
0.048148492,0.105549311,1
0.053717832,0.097586969,1
0.056608406,0.10015805,1
0.05780209,0.124346785,1
0.048040395,0.084991398,1
0.053116173,0.083092826,1
0.042489664,0.079851268,1
0.040257809,0.080031627,1
0.055593625,0.093987206,1
0.059690696,0.126058085,1
0.050649109,0.099628734,1
0.061412104,0.122103811,1
0.079768319,0.123056664,1
0.078332303,0.145945413,1
0.050516172,0.126155956,1
0.053528449,0.084251494,1
0.080587941,0.144726175,1
0.073565518,0.122164695,1
0.053526731,0.105326427,1
0.06373168,0.094872878,1
0.075557897,0.139118234,1
0.047669692,0.096341224,1
0.044970219,0.084986029,1
0.067696481,0.121893115,1
0.029660522,0.071229862,1
0.034264953,0.070959065,1
0.070720546,0.109770937,1
0.046975982,0.098354141,1
0.058735769,0.143873005,1
0.043366281,0.098081617,1
0.035870043,0.071419198,1
0.066112698,0.121198284,1
0.037962885,0.086548733,1
0.043468842,0.063731222,1
0.054769999,0.114377258,1
0.047457335,0.093624291,1
0.043924248,0.098774963,1
0.05366328,0.107331057,1
0.043102562,0.099393084,1
0.043743039,0.080447685,1
0.047284733,0.076855674,1
0.04772239,0.085547429,1
0.05145161,0.098509902,1
0.062380789,0.099166296,1
0.035660529,0.079346865,1
0.045030829,0.070693037,1
0.041669173,0.081965791,1
0.061254457,0.119810672,1
0.047888892,0.091228846,1
0.051282305,0.092578857,1
0.054822588,0.088027166,1
0.050818525,0.113624958,1
0.056662119,0.099859385,1
0.057689892,0.107694097,1
0.059028357,0.110905801,1
0.044444282,0.12046436,1
0.05070603,0.102006409,1
0.045715006,0.120665604,1
0.038688805,0.110683152,1
0.039361559,0.089485885,1
0.050359835,0.092329734,1
0.038859393,0.084106514,1
0.056815901,0.144508012,1
0.039619664,0.115300924,1
0.039832003,0.089255282,1
0.041952602,0.09498009,1
0.046202389,0.088329231,1
0.041171171,0.084519929,1
0.052820806,0.107788995,1
0.038221187,0.058033156,1
0.037691673,0.08490446,1
0.056587194,0.11932746,1
0.062747288,0.105797446,1
0.042164065,0.084756119,1
0.033488017,0.098558418,1
0.055622764,0.079868872,1
0.047918621,0.104431418,1
0.059639589,0.098924956,1
0.039389695,0.078784962,1
0.04927447,0.101485429,1
0.047727874,0.083026302,1
0.051290048,0.080483839,1
0.053368924,0.126545946,1
0.046605013,0.104218137,1
0.04821779,0.131330402,1
0.048016298,0.094272715,1
0.066464664,0.0983761,1
0.078793525,0.145227013,1
0.063610553,0.156437202,1
0.04964673,0.120922337,1
0.062361257,0.109787967,1
0.045858116,0.101898823,1
0.05498545,0.124221373,1
0.04925956,0.106951149,1
0.05390341,0.092689193,1
0.044165149,0.096574593,1
0.050760368,0.096962803,1
0.058120206,0.142153137,1
0.055930018,0.124989054,1
0.060988369,0.145776543,1
0.04800162,0.109496815,1
0.060079357,0.099010186,1
0.05747533,0.131366842,1
0.051434754,0.122208724,1
0.051079061,0.115990947,1
0.064528879,0.140427693,1
0.058482207,0.115042764,1
0.091179597,0.163042382,1
0.065121778,0.158146927,1
0.050152514,0.106371243,1
0.056922794,0.094315003,1
0.064619138,0.145138504,1
0.064010872,0.147119994,1
0.069178469,0.143480766,1
0.065517918,0.128264519,1
0.084853357,0.147786808,1
0.056720911,0.117588743,1
0.088255769,0.151026969,1
0.066899497,0.114739644,1
0.085809986,0.142014871,1
0.05990352,0.128793477,1
0.061645526,0.104857033,1
0.054831349,0.10036525,1
0.054265255,0.123201079,1
0.060326729,0.172032308,1
0.056512144,0.131406225,1
0.054660941,0.14307594,1
0.035214773,0.102222031,1
0.06566466,0.196343241,1
0.052323981,0.164821962,1
0.04460863,0.136740171,1
0.039674505,0.120977386,1
0.046838622,0.127215651,1
0.0387349,0.078932701,1
0.044012436,0.092384499,1
0.065969299,0.153212337,1
0.04353116,0.129594749,1
0.058945565,0.181001436,1
0.051563183,0.140951152,1
0.053715779,0.127873019,1
0.065518757,0.163505097,1
0.068341859,0.200220848,1
0.064763208,0.173674528,1
0.062574542,0.138048457,1
