Rdelta,Rtheta,Ralpha,Rbeta,MedianNN,MedianX,Class
0.764927852,0.076241496,0.04090163,0.097263518,641,40.32,0
0.796673943,0.075829166,0.033245902,0.074196679,671,40.32,0
0.744765959,0.08142025,0.047015834,0.101238275,690.5,40.25,0
0.531154833,0.185950391,0.080544777,0.168320787,681.5,40.18,0
0.796776581,0.076534722,0.037566365,0.072255851,690.5,40.18,0
0.630622434,0.105119831,0.061844209,0.164314109,710.5,40.25,0
0.738848113,0.077757984,0.040358641,0.113717688,661,40.32,0
0.768348518,0.071650672,0.039398044,0.097322238,671.5,40.32,0
0.641558456,0.124398573,0.049478153,0.150288064,671.5,40.32,0
0.555261298,0.166883579,0.075391585,0.164765048,721,40.32,0
0.73973155,0.098517651,0.041906304,0.098071082,700,40.32,0
0.745021628,0.089439684,0.045216998,0.100001513,682,40.32,0
0.794482031,0.088458483,0.036218374,0.065618368,680.5,40.32,0
0.780172292,0.092133577,0.035420005,0.076177532,701.5,40.32,0
0.801214199,0.082877226,0.03158615,0.069212612,710.5,40.32,0
0.76578005,0.082870362,0.047814202,0.087345282,690.5,40.32,0
0.790811366,0.082985594,0.031383519,0.078779147,701,40.32,0
0.642506947,0.137775034,0.05836358,0.132922845,711,40.32,0
0.791247107,0.086148043,0.033243308,0.07340227,740.5,40.32,0
0.716502792,0.112479289,0.053425936,0.097579207,702,40.395,0
0.708065763,0.133198346,0.04421807,0.093725184,741.5,40.32,0
0.775761523,0.09169723,0.042103922,0.073864267,720.5,40.32,0
0.792979212,0.083218368,0.029970619,0.076074016,741,40.32,0
0.713104365,0.107993721,0.052278008,0.105387035,721,40.32,0
0.570879293,0.153049011,0.082424727,0.164677734,742,40.32,0
0.819948155,0.07793881,0.030575345,0.059077568,730.5,40.32,0
0.817282373,0.065099307,0.038777179,0.06558481,700.5,40.32,0
0.792744875,0.089851858,0.030069925,0.07081874,601.5,40.32,0
0.808204242,0.078607584,0.032624501,0.066434927,681,40.32,0
0.703964409,0.118174055,0.050137139,0.106393872,671,40.32,0
0.662296227,0.110879492,0.064954869,0.131008984,711.5,40.32,0
0.800513784,0.080273153,0.038290661,0.065905129,701.5,40.32,0
0.761535482,0.109546849,0.043545371,0.070862857,711,40.25,0
0.729211356,0.135472394,0.046665854,0.07155067,681.5,40.32,0
0.850180693,0.065641971,0.025659068,0.046881322,681,40.32,0
0.626368442,0.158185173,0.068583374,0.118155092,710.5,40.32,0
0.72715031,0.089488312,0.048673243,0.112054672,771,42.67,1
0.560267926,0.163527516,0.072188375,0.170682912,781,42.67,1
0.77282692,0.077290607,0.038580841,0.091851733,801.5,42.67,1
0.740181319,0.082325072,0.047685642,0.106004793,761,42.52,1
0.7569009,0.08422358,0.037373667,0.101843425,750,42.67,1
0.638486222,0.122365587,0.057711437,0.151886262,821,42.67,1
0.768019942,0.074296242,0.048202119,0.090513187,801.5,42.67,1
0.529837774,0.164783554,0.077536447,0.192014911,821,42.52,1
0.70316745,0.096456183,0.052339936,0.123894931,851,42.67,1
0.712270546,0.094588774,0.049561868,0.115483467,821.5,42.67,1
0.735295015,0.088537615,0.039583719,0.11472245,831.5,42.67,1
0.701484442,0.094623636,0.049852955,0.128103143,781,42.67,1
0.732277071,0.094233837,0.043817737,0.108380934,821.5,42.67,1
0.67597281,0.120317194,0.04388755,0.134171417,801,42.67,1
